age,qx
0,0.000346
1,0.000350
2,0.000353
3,0.000357
4,0.000361
5,0.000365
6,0.000370
7,0.000376
8,0.000382
9,0.000388
10,0.000396
11,0.000404
12,0.000412
13,0.000422
14,0.000432
15,0.000444
16,0.000457
17,0.000471
18,0.000486
19,0.000503
20,0.000521
21,0.000542
22,0.000564
23,0.000589
24,0.000616
25,0.000645
26,0.000678
27,0.000714
28,0.000753
29,0.000796
30,0.000843
31,0.000896
32,0.000953
33,0.001016
34,0.001085
35,0.001161
36,0.001244
37,0.001335
38,0.001436
39,0.001546
40,0.001668
41,0.001801
42,0.001948
43,0.002109
44,0.002285
45,0.002480
46,0.002693
47,0.002927
48,0.003185
49,0.003468
50,0.003778
51,0.004120
52,0.004495
53,0.004907
54,0.005359
55,0.005856
56,0.006402
57,0.007002
58,0.007662
59,0.008386
60,0.009181
61,0.010055
62,0.011015
63,0.012069
64,0.013228
65,0.014501
66,0.015899
67,0.017435
68,0.019122
69,0.020976
70,0.023012
71,0.025249
72,0.027706
73,0.030406
74,0.033372
75,0.036630
76,0.040209
77,0.044141
78,0.048461
79,0.053206
80,0.058419
81,0.064146
82,0.070437
83,0.077348
84,0.084940
85,0.093281
86,0.102444
87,0.112509
88,0.123567
89,0.135715
90,0.149060
91,0.163720
92,0.179825
93,0.197518
94,0.216954
95,0.238306
96,0.261762
97,0.287530
98,0.315838
99,0.346936
100,0.381099
101,0.418629
102,0.459858
103,0.505150
104,0.554907
105,0.609567
106,0.669615
107,0.699300
108,0.699300
109,0.699300
110,0.699300
111,0.699300
112,0.699300
113,0.699300
114,0.699300
115,0.699300
116,0.699300
117,0.699300
118,0.699300
119,0.699300
120,0.699300
