age,year,improvement_rate
21,1951,-0.0146
21,1952,-0.006200000000000001
21,1953,0.002
21,1954,0.0092
21,1955,0.0151
21,1956,0.0193
21,1957,0.021500000000000002
21,1958,0.0211
21,1959,0.018000000000000002
21,1960,0.012100000000000001
21,1961,0.0038
21,1962,-0.0059
21,1963,-0.016
21,1964,-0.0253
21,1965,-0.0325
21,1966,-0.036500000000000005
21,1967,-0.0363
21,1968,-0.032100000000000004
21,1969,-0.0244
21,1970,-0.0146
21,1971,-0.0048000000000000004
21,1972,0.0038
21,1973,0.0105
21,1974,0.0148
21,1975,0.016900000000000002
21,1976,0.0176
21,1977,0.0183
21,1978,0.020300000000000002
21,1979,0.024
21,1980,0.0287
21,1981,0.0324
21,1982,0.0328
21,1983,0.0291
21,1984,0.0219
21,1985,0.0134
21,1986,0.0055000000000000005
21,1987,-0.0001
21,1988,-0.0029000000000000002
21,1989,-0.003
21,1990,-0.0007
21,1991,0.0037
21,1992,0.0095
21,1993,0.0159
21,1994,0.0221
21,1995,0.0269
21,1996,0.0291
21,1997,0.027700000000000002
21,1998,0.0228
21,1999,0.0151
21,2000,0.0064
21,2001,-0.0012000000000000001
21,2002,-0.006200000000000001
21,2003,-0.007500000000000001
21,2004,-0.005
21,2005,0.0008
21,2006,0.009300000000000001
21,2007,0.0187
21,2008,0.0269
21,2009,0.032
21,2010,0.0335
21,2011,0.031900000000000005
21,2012,0.0284
21,2013,0.0298
21,2014,0.0289
21,2015,0.0275
21,2016,0.0258
21,2017,0.0238
21,2018,0.0218
21,2019,0.0198
21,2020,0.018
21,2021,0.0165
21,2022,0.0155
21,2023,0.0146
21,2024,0.0138
21,2025,0.0131
21,2026,0.0124
21,2027,0.0117
21,2028,0.0111
21,2029,0.0107
21,2030,0.0103
21,2031,0.0101
22,1951,-0.012100000000000001
22,1952,-0.004200000000000001
22,1953,0.0034000000000000002
22,1954,0.0103
22,1955,0.015700000000000002
22,1956,0.0195
22,1957,0.0212
22,1958,0.0205
22,1959,0.0171
22,1960,0.0111
22,1961,0.0031000000000000003
22,1962,-0.0063
22,1963,-0.0159
22,1964,-0.0247
22,1965,-0.031400000000000004
22,1966,-0.035
22,1967,-0.034800000000000005
22,1968,-0.030600000000000002
22,1969,-0.023100000000000002
22,1970,-0.013800000000000002
22,1971,-0.0044
22,1972,0.0038
22,1973,0.0099
22,1974,0.013800000000000002
22,1975,0.015600000000000001
22,1976,0.0162
22,1977,0.0167
22,1978,0.018500000000000003
22,1979,0.0222
22,1980,0.0268
22,1981,0.0307
22,1982,0.031400000000000004
22,1983,0.028
22,1984,0.0212
22,1985,0.0129
22,1986,0.0053
22,1987,0.0001
22,1988,-0.0024000000000000002
22,1989,-0.002
22,1990,0.0007
22,1991,0.0055000000000000005
22,1992,0.0115
22,1993,0.0179
22,1994,0.0239
22,1995,0.028300000000000002
22,1996,0.0298
22,1997,0.027700000000000002
22,1998,0.0219
22,1999,0.013300000000000001
22,2000,0.0038
22,2001,-0.0044
22,2002,-0.0098
22,2003,-0.0114
22,2004,-0.0092
22,2005,-0.0034000000000000002
22,2006,0.005
22,2007,0.014400000000000001
22,2008,0.022600000000000002
22,2009,0.027800000000000002
22,2010,0.029400000000000003
22,2011,0.028
22,2012,0.0247
22,2013,0.0263
22,2014,0.0272
22,2015,0.026
22,2016,0.0246
22,2017,0.0229
22,2018,0.0212
22,2019,0.0194
22,2020,0.0178
22,2021,0.0165
22,2022,0.0155
22,2023,0.0146
22,2024,0.0138
22,2025,0.0131
22,2026,0.0124
22,2027,0.0117
22,2028,0.0111
22,2029,0.0107
22,2030,0.0103
22,2031,0.0101
23,1951,-0.0082
23,1952,-0.001
23,1953,0.0059
23,1954,0.0119
23,1955,0.0166
23,1956,0.019700000000000002
23,1957,0.020800000000000003
23,1958,0.0196
23,1959,0.0159
23,1960,0.0099
23,1961,0.0021000000000000003
23,1962,-0.006900000000000001
23,1963,-0.0159
23,1964,-0.0239
23,1965,-0.030000000000000002
23,1966,-0.0332
23,1967,-0.0328
23,1968,-0.0287
23,1969,-0.021500000000000002
23,1970,-0.0126
23,1971,-0.0038
23,1972,0.0039000000000000003
23,1973,0.009600000000000001
23,1974,0.0131
23,1975,0.0146
23,1976,0.0149
23,1977,0.0152
23,1978,0.016800000000000002
23,1979,0.020200000000000003
23,1980,0.0247
23,1981,0.0285
23,1982,0.029400000000000003
23,1983,0.0263
23,1984,0.019700000000000002
23,1985,0.011600000000000001
23,1986,0.004200000000000001
23,1987,-0.0008
23,1988,-0.0029000000000000002
23,1989,-0.002
23,1990,0.0014
23,1991,0.0068000000000000005
23,1992,0.0134
23,1993,0.020300000000000002
23,1994,0.026500000000000003
23,1995,0.0308
23,1996,0.032
23,1997,0.0292
23,1998,0.022500000000000003
23,1999,0.013000000000000001
23,2000,0.0025
23,2001,-0.0066
23,2002,-0.0126
23,2003,-0.014700000000000001
23,2004,-0.012700000000000001
23,2005,-0.0071
23,2006,0.0011
23,2007,0.010400000000000001
23,2008,0.018500000000000003
23,2009,0.023700000000000002
23,2010,0.0253
23,2011,0.024
23,2012,0.020800000000000003
23,2013,0.0226
23,2014,0.0238
23,2015,0.0245
23,2016,0.0233
23,2017,0.0219
23,2018,0.0205
23,2019,0.019
23,2020,0.0176
23,2021,0.0164
23,2022,0.0155
23,2023,0.0146
23,2024,0.0138
23,2025,0.0131
23,2026,0.0124
23,2027,0.0117
23,2028,0.0111
23,2029,0.0107
23,2030,0.0103
23,2031,0.0101
24,1951,-0.0031000000000000003
24,1952,0.0031000000000000003
24,1953,0.009000000000000001
24,1954,0.014
24,1955,0.0177
24,1956,0.0199
24,1957,0.020200000000000003
24,1958,0.0183
24,1959,0.014400000000000001
24,1960,0.008400000000000001
24,1961,0.0009000000000000001
24,1962,-0.007500000000000001
24,1963,-0.0159
24,1964,-0.023200000000000002
24,1965,-0.0286
24,1966,-0.031200000000000002
24,1967,-0.030500000000000003
24,1968,-0.0264
24,1969,-0.0196
24,1970,-0.0112
24,1971,-0.0029000000000000002
24,1972,0.004200000000000001
24,1973,0.0095
24,1974,0.0126
24,1975,0.013800000000000002
24,1976,0.013900000000000001
24,1977,0.013900000000000001
24,1978,0.0151
24,1979,0.0181
24,1980,0.0222
24,1981,0.025900000000000003
24,1982,0.0268
24,1983,0.0238
24,1984,0.0173
24,1985,0.0094
24,1986,0.0021000000000000003
24,1987,-0.0027
24,1988,-0.0045000000000000005
24,1989,-0.003
24,1990,0.0012000000000000001
24,1991,0.0076
24,1992,0.0151
24,1993,0.0228
24,1994,0.0296
24,1995,0.034300000000000004
24,1996,0.0354
