age,qx
0,0.000762
1,0.000769
2,0.000777
3,0.000785
4,0.000794
5,0.000804
6,0.000815
7,0.000827
8,0.000840
9,0.000854
10,0.000870
11,0.000888
12,0.000907
13,0.000928
14,0.000951
15,0.000977
16,0.001005
17,0.001036
18,0.001069
19,0.001106
20,0.001147
21,0.001192
22,0.001241
23,0.001295
24,0.001354
25,0.001420
26,0.001491
27,0.001570
28,0.001656
29,0.001751
30,0.001856
31,0.001970
32,0.002096
33,0.002234
34,0.002386
35,0.002553
36,0.002737
37,0.002938
38,0.003159
39,0.003402
40,0.003669
41,0.003963
42,0.004285
43,0.004639
44,0.005028
45,0.005455
46,0.005924
47,0.006440
48,0.007006
49,0.007629
50,0.008312
51,0.009063
52,0.009888
53,0.010795
54,0.011790
55,0.012884
56,0.014085
57,0.015405
58,0.016855
59,0.018448
60,0.020198
61,0.022121
62,0.024233
63,0.026553
64,0.029102
65,0.031901
66,0.034977
67,0.038356
68,0.042069
69,0.046146
70,0.050626
71,0.055548
72,0.060954
73,0.066894
74,0.073418
75,0.080586
76,0.088460
77,0.097111
78,0.106614
79,0.117053
80,0.128522
81,0.141120
82,0.154961
83,0.170165
84,0.186868
85,0.205218
86,0.225376
87,0.247520
88,0.271848
89,0.298573
90,0.327932
91,0.360184
92,0.395616
93,0.434539
94,0.477299
95,0.524273
96,0.575877
97,0.632567
98,0.694844
99,0.763259
100,0.838418
101,0.920984
102,0.999000
103,0.999000
104,0.999000
105,0.999000
106,0.999000
107,0.999000
108,0.999000
109,0.999000
110,0.999000
111,0.999000
112,0.999000
113,0.999000
114,0.999000
115,0.999000
116,0.999000
117,0.999000
118,0.999000
119,0.999000
120,0.999000
