age,qx
0,0.000495
1,0.000499
2,0.000504
3,0.000510
4,0.000516
5,0.000522
6,0.000529
7,0.000537
8,0.000545
9,0.000555
10,0.000565
11,0.000577
12,0.000589
13,0.000603
14,0.000618
15,0.000634
16,0.000652
17,0.000672
18,0.000694
19,0.000718
20,0.000745
21,0.000774
22,0.000806
23,0.000841
24,0.000880
25,0.000922
26,0.000968
27,0.001019
28,0.001076
29,0.001137
30,0.001205
31,0.001279
32,0.001361
33,0.001451
34,0.001550
35,0.001658
36,0.001777
37,0.001908
38,0.002051
39,0.002209
40,0.002383
41,0.002573
42,0.002782
43,0.003012
44,0.003265
45,0.003542
46,0.003847
47,0.004182
48,0.004550
49,0.004954
50,0.005398
51,0.005885
52,0.006421
53,0.007009
54,0.007656
55,0.008366
56,0.009146
57,0.010003
58,0.010945
59,0.011979
60,0.013116
61,0.014364
62,0.015736
63,0.017242
64,0.018897
65,0.020715
66,0.022713
67,0.024907
68,0.027317
69,0.029965
70,0.032874
71,0.036070
72,0.039581
73,0.043437
74,0.047674
75,0.052329
76,0.057442
77,0.063059
78,0.069230
79,0.076009
80,0.083456
81,0.091637
82,0.100624
83,0.110497
84,0.121343
85,0.133258
86,0.146348
87,0.160728
88,0.176525
89,0.193878
90,0.212943
91,0.233886
92,0.256893
93,0.282168
94,0.309934
95,0.340437
96,0.373946
97,0.410758
98,0.451197
99,0.495623
100,0.544427
101,0.598041
102,0.656940
103,0.721643
104,0.792724
105,0.870810
106,0.956593
107,0.999000
108,0.999000
109,0.999000
110,0.999000
111,0.999000
112,0.999000
113,0.999000
114,0.999000
115,0.999000
116,0.999000
117,0.999000
118,0.999000
119,0.999000
120,0.999000
