age,qx
0,0.001089
1,0.001099
2,0.001109
3,0.001121
4,0.001134
5,0.001148
6,0.001164
7,0.001181
8,0.001200
9,0.001221
10,0.001243
11,0.001268
12,0.001296
13,0.001326
14,0.001359
15,0.001395
16,0.001435
17,0.001479
18,0.001528
19,0.001581
20,0.001639
21,0.001703
22,0.001773
23,0.001850
24,0.001935
25,0.002028
26,0.002130
27,0.002243
28,0.002366
29,0.002502
30,0.002651
31,0.002815
32,0.002994
33,0.003192
34,0.003409
35,0.003647
36,0.003909
37,0.004197
38,0.004513
39,0.004860
40,0.005242
41,0.005661
42,0.006121
43,0.006627
44,0.007183
45,0.007793
46,0.008464
47,0.009200
48,0.010009
49,0.010898
50,0.011875
51,0.012948
52,0.014126
53,0.015421
54,0.016843
55,0.018406
56,0.020122
57,0.022008
58,0.024079
59,0.026355
60,0.028855
61,0.031601
62,0.034618
63,0.037933
64,0.041574
65,0.045574
66,0.049968
67,0.054795
68,0.060098
69,0.065924
70,0.072323
71,0.079354
72,0.087078
73,0.095562
74,0.104883
75,0.115123
76,0.126372
77,0.138730
78,0.152305
79,0.167219
80,0.183602
81,0.201600
82,0.221372
83,0.243093
84,0.266955
85,0.293168
86,0.321965
87,0.353601
88,0.388354
89,0.426532
90,0.468474
91,0.514549
92,0.565165
93,0.620770
94,0.681855
95,0.748961
96,0.822681
97,0.903667
98,0.992634
99,0.999000
100,0.999000
101,0.999000
102,0.999000
103,0.999000
104,0.999000
105,0.999000
106,0.999000
107,0.999000
108,0.999000
109,0.999000
110,0.999000
111,0.999000
112,0.999000
113,0.999000
114,0.999000
115,0.999000
116,0.999000
117,0.999000
118,0.999000
119,0.999000
120,0.999000
