maturity_years,zero_rate
0.500000,0.03725093
1.000000,0.03695370
1.500000,0.03725465
2.000000,0.03755667
2.500000,0.03755441
3.000000,0.03755290
3.500000,0.03778571
4.000000,0.03801957
4.500000,0.03825472
5.000000,0.03849135
5.500000,0.03897383
6.000000,0.03945938
6.500000,0.03994845
7.000000,0.04044147
7.500000,0.04078636
8.000000,0.04113475
8.500000,0.04148675
9.000000,0.04184247
9.500000,0.04220204
10.000000,0.04256560
10.500000,0.04289403
11.000000,0.04322642
11.500000,0.04356289
12.000000,0.04390356
12.500000,0.04424859
13.000000,0.04459813
13.500000,0.04495236
14.000000,0.04531145
14.500000,0.04567561
15.000000,0.04604505
15.500000,0.04642000
16.000000,0.04680068
16.500000,0.04718737
17.000000,0.04758034
17.500000,0.04797987
18.000000,0.04838628
18.500000,0.04879991
19.000000,0.04922112
19.500000,0.04965028
20.000000,0.05008780
20.500000,0.05003666
21.000000,0.04998839
21.500000,0.04994280
22.000000,0.04989972
22.500000,0.04985900
23.000000,0.04982048
23.500000,0.04978403
24.000000,0.04974953
24.500000,0.04971687
25.000000,0.04968595
25.500000,0.04965666
26.000000,0.04962894
26.500000,0.04960269
27.000000,0.04957784
27.500000,0.04955433
28.000000,0.04953208
28.500000,0.04951105
29.000000,0.04949118
29.500000,0.04947242
30.000000,0.04945471
